City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,Maceio,BR,2022-07-01 02:32:53,-9.6658,-35.7353,72.84,94,100,5.75
271,Wamba,NG,2022-07-01 02:32:54,8.9333,8.6,70.65,97,99,3.87
272,Tura,IN,2022-07-01 02:32:55,25.5198,90.2201,81.18,77,40,5.3
273,Nouadhibou,MR,2022-07-01 02:32:55,20.931,-17.0347,67.15,88,0,21.14
274,Manado,ID,2022-07-01 02:32:56,1.487,124.8455,90.37,62,40,5.75
275,Rundu,NA,2022-07-01 02:32:56,-17.9333,19.7667,47.71,79,49,6.82
276,Pacific Grove,US,2022-07-01 02:32:57,36.6177,-121.9166,69.24,83,75,10.36
277,Kemijarvi,FI,2022-07-01 02:32:57,66.7131,27.4306,70.32,72,0,1.14
278,Vila Franca Do Campo,PT,2022-07-01 02:32:58,37.7167,-25.4333,66.61,96,99,5.79
279,Ostrovnoy,RU,2022-07-01 02:32:58,68.0531,39.5131,50.22,93,86,14.0
280,San Quintin,MX,2022-07-01 02:32:59,30.4833,-115.95,68.13,83,0,11.65
281,Caravelas,BR,2022-07-01 02:32:59,-17.7125,-39.2481,69.87,89,81,2.75
282,Manoel Urbano,BR,2022-07-01 02:33:00,-8.8389,-69.2597,69.37,69,4,0.11
283,Abu Kamal,SY,2022-07-01 02:33:01,34.4506,40.9171,82.4,34,0,14.9
284,Shache,CN,2022-07-01 02:33:01,38.4167,77.2406,93.61,12,6,9.17
285,Port-Gentil,GA,2022-07-01 02:33:02,-0.7193,8.7815,73.0,86,60,13.24
286,Yerbogachen,RU,2022-07-01 02:33:02,61.2767,108.0108,78.58,37,23,6.64
287,Zachary,US,2022-07-01 02:33:03,30.6485,-91.1565,78.73,99,0,6.91
288,Nuuk,GL,2022-07-01 02:33:03,64.1835,-51.7216,47.01,81,75,26.46
289,Ryzdvyanyy,RU,2022-07-01 02:33:04,45.2656,41.8389,63.12,50,99,4.0
290,Yulara,AU,2022-07-01 02:33:05,-25.2406,130.9889,58.03,41,0,20.4
