City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
194,Aguimes,ES,27.9054,-15.4461,66.83,73,75,28.01,broken clouds
195,Esperance,AU,-33.8667,121.9,56.91,81,86,14.14,overcast clouds
196,Adeje,ES,28.1227,-16.726,73.09,54,0,6.91,clear sky
197,Kysyl-Syr,RU,63.8986,122.7617,63.43,63,100,2.26,overcast clouds
198,Pecos,US,31.4229,-103.4932,96.89,23,0,4.61,clear sky
199,Florianopolis,BR,-27.6146,-48.5012,66.42,86,0,13.8,clear sky
200,Port Shepstone,ZA,-30.7414,30.455,61.03,79,0,4.29,clear sky
201,Wenling,CN,28.3669,121.36,83.66,82,21,16.33,few clouds
202,Iralaya,HN,15.0,-83.2333,79.88,84,100,10.07,overcast clouds
203,Aklavik,CA,68.2191,-135.0107,87.15,27,6,7.99,clear sky
204,Iquique,CL,-20.2208,-70.1431,59.04,78,36,3.96,scattered clouds
205,Lahij,YE,13.1667,44.5833,84.54,48,88,2.89,overcast clouds
206,Curup,ID,-3.4667,102.5333,78.44,69,65,1.77,broken clouds
207,Saint-Philippe,RE,-21.3585,55.7679,66.22,73,68,10.65,broken clouds
208,Thunder Bay,CA,48.4001,-89.3168,66.11,48,20,6.91,few clouds
209,Nikolskoye,RU,59.7035,30.7861,60.8,93,100,2.8,overcast clouds
210,Harper,LR,4.375,-7.7169,75.7,84,87,8.01,overcast clouds
211,Soyo,AO,-6.1349,12.3689,68.85,87,27,6.98,scattered clouds
212,College,US,64.8569,-147.8028,85.59,40,0,0.0,smoke
213,Ambatofinandrahana,MG,-20.55,46.8,44.64,95,1,3.91,clear sky
214,Suhbaatar,MN,50.2314,106.2078,64.78,66,100,4.97,moderate rain
215,Almaznyy,RU,48.0448,40.045,61.75,48,0,5.19,clear sky
216,Igrim,RU,63.1906,64.4162,66.18,75,10,4.92,clear sky
217,Nome,US,64.5011,-165.4064,64.17,70,99,11.41,overcast clouds
218,Fortuna,US,40.5982,-124.1573,63.93,84,100,1.99,overcast clouds
219,Necochea,AR,-38.5473,-58.7368,51.49,71,100,12.15,light rain
220,Mormugao,IN,15.4,73.8,78.06,89,100,13.8,overcast clouds
221,Flin Flon,CA,54.7682,-101.865,63.82,54,35,5.91,scattered clouds
222,Hatsukaichi,JP,34.35,132.3333,89.56,19,100,3.24,overcast clouds
223,Grand Gaube,MU,-20.0064,57.6608,70.2,60,87,1.99,overcast clouds
224,Nkoteng,CM,4.5167,12.0333,66.72,99,88,2.59,overcast clouds
225,Mount Pleasant,US,32.7941,-79.8626,84.34,83,0,9.22,clear sky
226,Longyearbyen,SJ,78.2186,15.6401,38.79,70,17,6.62,few clouds
227,Nemuro,JP,43.3236,145.575,56.73,91,69,6.87,broken clouds
228,Denpasar,ID,-8.65,115.2167,74.86,88,75,16.11,broken clouds
229,Saint Anthony,US,45.0205,-93.218,78.73,73,40,4.61,scattered clouds
230,Northfield,US,44.4583,-93.1616,78.48,77,0,3.44,clear sky
231,Havoysund,NO,70.9963,24.6622,50.23,93,100,5.35,overcast clouds
232,Chifeng,CN,42.2683,118.9636,80.51,52,0,5.88,clear sky
233,Pacific Grove,US,36.6177,-121.9166,72.55,85,0,7.0,clear sky
234,Motala,SE,58.5371,15.0365,56.52,81,100,11.48,overcast clouds
235,Isangel,VU,-19.55,169.2667,84.31,70,75,5.75,broken clouds
236,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.33,87,4,11.74,clear sky
237,Kokoda,PG,-8.8785,147.7407,87.71,57,85,5.55,overcast clouds
238,Monte Alegre De Minas,BR,-18.8706,-48.8808,63.09,51,1,7.56,clear sky
239,Basco,PH,20.4487,121.9702,84.61,78,36,14.34,scattered clouds
240,Shablykino,RU,52.8566,35.1964,68.23,68,99,9.26,overcast clouds
241,Guerrero Negro,MX,27.9769,-114.0611,68.65,80,0,17.4,clear sky
242,Tondano,ID,1.3038,124.9112,75.29,68,92,3.27,overcast clouds
243,Qui Nhon,VN,13.7667,109.2333,89.53,61,100,5.73,overcast clouds
244,Luena,AO,-11.7833,19.9167,49.08,64,6,4.34,clear sky
245,Kapit,MY,2.0167,112.9333,87.3,60,33,2.08,scattered clouds
246,Puerto Cabezas,NI,14.0351,-83.3888,78.08,88,96,8.23,overcast clouds
247,Ulaangom,MN,49.9811,92.0667,67.89,42,30,4.63,scattered clouds
248,Areia Branca,BR,-4.9561,-37.1369,76.91,77,42,15.97,light rain
249,Savannah Bight,HN,16.45,-85.85,82.04,84,89,21.36,overcast clouds
250,Vrangel,RU,42.7297,133.0839,65.8,89,98,10.2,overcast clouds
251,Erenhot,CN,43.6475,111.9767,85.23,28,10,18.32,clear sky
252,Zhigansk,RU,66.7697,123.3711,65.34,47,100,9.82,overcast clouds
253,Kovdor,RU,67.5662,30.4758,51.08,84,100,6.08,moderate rain
254,Mitu,CO,1.1983,-70.1733,73.72,88,98,2.06,overcast clouds
255,Murray Bridge,AU,-35.1167,139.2667,57.13,69,100,12.48,overcast clouds
256,Iki-Burul,RU,45.8208,44.6472,64.51,59,0,8.28,clear sky
257,Yarmouth,US,41.7057,-70.2286,70.97,76,75,4.61,broken clouds
258,Vila Velha,BR,-20.3297,-40.2925,71.55,89,20,8.05,few clouds
259,Solnechnyy,RU,50.7214,136.6319,88.86,46,29,12.3,scattered clouds
260,Cabo San Lucas,MX,22.8909,-109.9124,80.26,53,9,11.16,clear sky
261,Tura,IN,25.5198,90.2201,81.93,76,9,3.47,clear sky
262,Cumana,VE,10.4635,-64.1775,78.3,83,100,11.9,overcast clouds
263,Halifax,CA,44.6453,-63.5724,61.29,89,100,19.57,overcast clouds
264,Inirida,CO,3.8653,-67.9239,73.51,96,76,2.62,broken clouds
265,Tabas,IR,33.5959,56.9244,81.32,21,0,4.0,clear sky
266,Lardos,GR,36.0942,28.0157,78.94,70,0,14.45,clear sky
267,Oranjemund,NA,-28.55,16.4333,51.96,75,0,6.44,clear sky
268,Lompoc,US,34.6391,-120.4579,75.02,72,0,15.01,clear sky
269,Morondava,MG,-20.2833,44.2833,65.21,74,0,7.38,clear sky
270,Puerto Madero,MX,14.7208,-92.4215,71.8,100,100,5.75,overcast clouds
271,Primo Tapia,MX,32.22,-116.9172,80.87,68,12,12.75,few clouds
272,Isla Mujeres,MX,21.2311,-86.731,80.17,79,21,7.65,few clouds
273,Teya,RU,60.3778,92.6267,60.66,87,77,4.65,broken clouds
274,Flinders,AU,-34.5833,150.8552,64.18,76,84,5.99,broken clouds
275,Monrovia,LR,6.3005,-10.7969,76.19,84,27,6.38,light rain
