City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
450,Guanica,PR,81.99,17.9716,-66.908,overcast clouds,Copamarina Beach Resort & Spa
453,Hami,CN,82.49,42.8,93.45,clear sky,Laoyutang Resort
455,Tanete,ID,82.85,-3.9443,119.7848,moderate rain,Wisma Tri Multi
456,Vao,NC,75.79,-22.6667,167.4833,overcast clouds,Hotel Kou-Bugny
457,Mersing,MY,83.05,2.4312,103.8405,broken clouds,Timotel Hotel
461,Esna,EG,86.02,25.2934,32.554,clear sky,Orient Star Dahabyia Isna 05 Nights Each Sunday
463,Inongo,CD,70.03,-1.95,18.2667,broken clouds,Hotel Du Lac
464,Mogadishu,SO,75.74,2.0371,45.3438,moderate rain,Hotel Juba
466,San Andres,CO,81.43,12.5847,-81.7006,overcast clouds,Hotel Arena Blanca
468,Awbari,LY,81.21,26.5921,12.7805,clear sky,فندق أوباري
469,Sterling,US,80.17,39.0062,-77.4286,overcast clouds,Hampton Inn & Suites Washington-Dulles International Airport
470,Jutai,BR,73.92,-5.1833,-68.9,overcast clouds,
471,Rambha,IN,83.62,19.5167,85.1,overcast clouds,OTDC Panthanivas - Rambha
474,Manbij,SY,72.9,36.5281,37.9549,scattered clouds,Manbej City Hotel
476,Samarai,PG,83.01,-10.6167,150.6667,scattered clouds,Nuli Sapi
479,Catuday,PH,82.76,16.2923,119.8062,overcast clouds,Benjie's Kubo & Cottages
480,Port Moresby,PG,84.45,-9.4431,147.1797,few clouds,Lamana Hotel (Port Moresby)
483,Urubicha,BO,71.62,-15.3833,-62.95,clear sky,
