City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Birjand,IR,2022-07-03 05:00:51,32.8663,59.2211,93.02,9,82,3.67
120,Leningradskiy,RU,2022-07-03 05:00:52,69.3833,178.4167,40.17,86,100,2.95
121,Ndele,CF,2022-07-03 05:00:52,8.4109,20.6473,67.89,96,99,2.35
122,Saint George,US,2022-07-03 04:59:37,37.1041,-113.5841,83.25,16,0,7.34
123,Bredasdorp,ZA,2022-07-03 05:00:53,-34.5322,20.0403,49.84,82,12,6.6
124,Klaksvik,FO,2022-07-03 05:00:54,62.2266,-6.589,49.12,91,100,28.72
125,Yenagoa,NG,2022-07-03 05:00:54,4.9247,6.2642,73.38,95,95,3.29
126,Coihaique,CL,2022-07-03 05:00:55,-45.5752,-72.0662,28.04,98,40,3.91
127,Viedma,AR,2022-07-03 05:00:56,-40.8135,-62.9967,47.41,31,67,20.09
128,Jos,NG,2022-07-03 05:00:56,9.9167,8.9,63.59,94,36,3.47
129,Fethiye,TR,2022-07-03 05:00:57,36.6217,29.1164,85.87,36,0,8.43
130,Rockingham,US,2022-07-03 04:59:56,42.9668,-71.0995,71.76,80,99,6.78
131,San Carlos De Bariloche,AR,2022-07-03 05:00:58,-41.1456,-71.3082,27.3,90,26,8.95
132,Inirida,CO,2022-07-03 05:00:58,3.8653,-67.9239,72.37,98,94,0.51
133,Jamestown,US,2022-07-03 05:00:59,42.097,-79.2353,64.02,79,100,1.01
134,Monforte De Lemos,ES,2022-07-03 05:00:59,42.5216,-7.5142,62.56,98,75,2.84
135,Panguna,PG,2022-07-03 05:02:00,-6.3164,155.4848,80.47,65,42,3.53
136,Salalah,OM,2022-07-03 05:02:00,17.0151,54.0924,81.37,82,91,10.76
137,Georgetown,MY,2022-07-03 04:58:17,5.4112,100.3354,89.55,59,20,13.8
138,Santa Fe,AR,2022-07-03 05:02:01,-31.6333,-60.7,48.99,70,2,3.0
139,Provideniya,RU,2022-07-03 05:02:01,64.3833,-173.3,52.07,69,100,4.54
140,Diphu,IN,2022-07-03 05:02:02,25.8333,93.4333,85.69,68,80,3.04
141,Esperance,AU,2022-07-03 05:02:02,-33.8667,121.9,60.64,48,0,4.14
142,Geraldton,AU,2022-07-03 05:02:03,-28.7667,114.6,68.41,32,0,17.27
143,Hunterville,NZ,2022-07-03 05:02:03,-39.9333,175.5667,51.69,85,41,7.58
144,Vyartsilya,RU,2022-07-03 05:02:04,62.1764,30.693,73.04,51,21,3.96
145,Marsh Harbour,BS,2022-07-03 05:02:04,26.5412,-77.0636,80.76,75,83,14.0
146,Codrington,AU,2022-07-03 05:02:04,-38.2667,141.9667,52.77,69,90,11.72
147,Vardo,NO,2022-07-03 05:02:05,70.3705,31.1107,69.78,68,6,16.11
148,Grindavik,IS,2022-07-03 05:02:05,63.8424,-22.4338,48.67,93,75,16.11
149,Ribeira Grande,PT,2022-07-03 05:02:06,38.5167,-28.7,66.38,86,36,12.82
150,Tahe,CN,2022-07-03 05:02:06,52.3333,124.7333,91.22,30,26,1.68
151,Olafsvik,IS,2022-07-03 05:02:06,64.8945,-23.7142,49.19,89,71,10.74
152,Akhmim,EG,2022-07-03 05:02:07,26.5622,31.745,85.42,29,0,6.44
153,Parsabad,IR,2022-07-03 05:02:07,39.6482,47.9174,77.77,42,100,15.84
154,Verkhoyansk,RU,2022-07-03 05:02:08,67.5447,133.385,82.26,30,91,6.29
155,Mtambile,TZ,2022-07-03 05:02:08,-5.3833,39.7,75.65,72,7,11.32
156,Kloulklubed,PW,2022-07-03 05:02:09,7.0419,134.2556,85.05,75,71,12.48
157,Riyadh,SA,2022-07-03 05:01:44,24.6877,46.7219,92.88,12,74,7.76
158,Kodiak,US,2022-07-03 05:02:09,57.79,-152.4072,53.11,94,100,14.97
159,Mineros,BO,2022-07-03 05:02:10,-17.1167,-63.2333,67.41,66,71,4.29
160,Moron,AR,2022-07-03 05:02:10,-34.6534,-58.6198,44.98,86,31,2.3
161,Airai,TL,2022-07-03 05:02:11,-8.9266,125.4092,66.25,82,90,3.69
162,Dingle,PH,2022-07-03 05:02:11,10.9995,122.6711,88.7,64,79,9.64
163,Butaritari,KI,2022-07-03 05:02:11,3.0707,172.7902,83.34,74,27,21.09
164,Rocha,UY,2022-07-03 05:01:27,-34.4833,-54.3333,39.24,90,2,2.95
165,Port Hardy,CA,2022-07-03 05:00:17,50.6996,-127.4199,55.62,94,23,10.18
166,Hailey,US,2022-07-03 05:02:12,43.5196,-114.3153,72.88,53,0,8.05
167,Shizunai,JP,2022-07-03 05:02:13,42.3339,142.3669,70.11,85,100,3.62
168,Okato,NZ,2022-07-03 05:02:13,-39.2,173.8833,53.91,100,38,11.52
169,Clyde River,CA,2022-07-03 05:02:13,70.4692,-68.5914,30.43,100,100,6.91
170,Festus,US,2022-07-03 05:00:02,38.2206,-90.396,73.38,97,83,3.76
171,Borogontsy,RU,2022-07-03 05:02:14,62.6683,131.1683,83.26,35,100,5.88
172,Makakilo City,US,2022-07-03 05:01:31,21.3469,-158.0858,77.32,74,95,18.75
173,Yellowknife,CA,2022-07-03 05:00:20,62.456,-114.3525,60.57,59,37,3.0
174,Launceston,AU,2022-07-03 05:02:15,-41.45,147.1667,54.34,72,4,4.61
175,Mahebourg,MU,2022-07-03 05:01:17,-20.4081,57.7,74.25,63,73,21.77
176,Kovdor,RU,2022-07-03 05:02:15,67.5662,30.4758,70.9,62,25,7.72
177,Sisimiut,GL,2022-07-03 05:02:16,66.9395,-53.6735,44.67,77,38,6.91
178,Kotelnikovo,RU,2022-07-03 05:02:16,47.6317,43.1461,66.43,63,1,15.41
179,Port Elizabeth,ZA,2022-07-03 05:02:17,-33.918,25.5701,61.32,87,95,5.01
180,Santa Cruz,BO,2022-07-03 05:00:03,-17.8,-63.1667,67.42,68,5,6.44
181,Coquimbo,CL,2022-07-03 04:59:22,-29.9533,-71.3436,49.73,87,0,5.75
182,Ust-Tsilma,RU,2022-07-03 05:03:17,65.441,52.1498,57.52,55,46,5.82
183,Wajima,JP,2022-07-03 05:03:18,37.4,136.9,77.56,76,100,6.33
184,Dudinka,RU,2022-07-03 05:03:18,69.4058,86.1778,56.62,63,98,24.23
185,Pa Sang,TH,2022-07-03 05:03:18,18.5262,98.9394,89.85,57,100,1.43
186,Barrow,US,2022-07-03 05:03:19,71.2906,-156.7887,44.62,81,0,13.8
187,Chokurdakh,RU,2022-07-03 05:03:19,70.6333,147.9167,69.58,30,75,9.51
188,Zaysan,KZ,2022-07-03 05:03:20,47.4667,84.8667,78.85,20,0,9.48
189,Shieli,KZ,2022-07-03 05:03:20,44.1667,66.75,94.1,11,67,8.41
190,Altamira,BR,2022-07-03 05:03:21,-3.2033,-52.2064,71.06,98,69,1.83
191,Khatanga,RU,2022-07-03 05:03:21,71.9667,102.5,54.01,69,92,17.98
192,Nikolskoye,RU,2022-07-03 05:03:22,59.7035,30.7861,75.87,56,100,3.76
193,Shirokiy,RU,2022-07-03 05:03:22,49.758,129.523,80.76,68,48,4.34
194,Lorengau,PG,2022-07-03 05:03:23,-2.0226,147.2712,83.03,80,93,8.66
195,Rawson,AR,2022-07-03 05:03:23,-43.3002,-65.1023,46.98,48,59,24.9
196,Ilhabela,BR,2022-07-03 05:03:23,-23.7781,-45.3581,69.93,62,0,5.21
197,Valle De San Juan,CO,2022-07-03 05:03:24,4.1987,-75.1173,72.16,79,92,3.78
198,Sitka,US,2022-07-03 04:58:25,57.0531,-135.33,58.55,89,89,2.35
199,Hun,LY,2022-07-03 05:03:24,29.1268,15.9477,82.74,24,0,2.53
200,Chamba,IN,2022-07-03 05:03:25,32.5667,76.1333,78.37,90,99,2.33
201,Voskresenskoye,RU,2022-07-03 05:03:25,56.8381,45.4317,64.26,75,25,8.05
